"","MCPP","ARSON","ASSAULT OFFENSES","BURGLARY/BREAKING&ENTERING","CURFEW/LOITERING/VAGRANCY VIOLATIONS","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","DRIVING UNDER THE INFLUENCE","DRUG/NARCOTIC OFFENSES","EMBEZZLEMENT","EXTORTION/BLACKMAIL","FAMILY OFFENSES, NONVIOLENT","FRAUD OFFENSES","KIDNAPPING/ABDUCTION","LARCENY-THEFT","MOTOR VEHICLE THEFT","ROBBERY","SEX OFFENSES","STOLEN PROPERTY OFFENSES","TRESPASS OF REAL PROPERTY","WEAPON LAW VIOLATIONS","COUNTERFEITING/FORGERY","PORNOGRAPHY/OBSCENE MATERIAL","ANIMAL CRUELTY","DRUNKENNESS","HOMICIDE OFFENSES","LIQUOR LAW VIOLATIONS","BAD CHECKS","PROSTITUTION OFFENSES","HUMAN TRAFFICKING","SEX OFFENSES, CONSENSUAL","PEEPING TOM","GAMBLING OFFENSES","least_n","Least_n","Moderate_n","Most_n","MCPP_adj"
"45","PIONEER SQUARE",0,320,61,0,128,10,8,1,1,1,24,3,275,41,29,17,9,39,13,0,3,0,0,2,1,0,0,1,0,0,0,68,68,416,503,"PIONEER SQUARE"
"46","QUEEN ANNE",4,478,796,0,413,55,14,1,6,2,149,4,1870,378,64,26,30,111,21,21,1,2,2,1,1,1,0,0,0,0,0,266,266,2342,1843,"QUEEN ANNE"
"47","RAINIER BEACH",0,164,53,0,73,12,0,0,3,0,24,3,185,78,37,7,10,10,13,1,1,0,0,0,0,1,0,0,0,0,0,35,35,273,367,"RAINIER BEACH"
"48","RAINIER VIEW",1,84,44,0,39,10,0,0,1,2,27,0,132,51,8,2,2,8,4,1,1,2,0,0,0,0,0,0,0,0,0,38,38,176,205,"RAINIER VIEW"
"49","ROOSEVELT/RAVENNA",1,243,370,0,199,23,2,1,5,4,106,5,1630,263,56,16,17,34,13,6,2,1,0,0,0,0,0,1,1,1,0,146,146,1859,995,"ROOSEVELT/RAVENNA"
"50","ROXHILL/WESTWOOD/ARBOR HEIGHTS",3,148,83,0,128,9,3,0,2,0,49,1,512,120,38,9,7,37,9,5,0,0,0,1,0,0,0,0,1,0,0,86,86,653,426,"ROXHILL/WESTWOOD/ARBOR HEIGHTS"
"51","SANDPOINT",4,201,183,0,107,23,2,0,5,11,85,3,648,167,19,16,3,17,5,12,4,0,0,1,0,1,0,1,1,0,0,117,117,774,628,"SANDPOINT"
"52","SLU/CASCADE",8,614,459,0,375,66,41,2,7,2,121,10,1239,172,75,20,31,96,42,12,0,1,0,1,0,1,1,1,0,0,0,220,220,1671,1506,"SLU/CASCADE"
"53","SODO",9,195,127,0,170,47,9,3,0,0,100,3,673,127,44,13,25,29,16,9,0,0,0,0,0,0,0,0,0,0,0,129,129,883,587,"SODO"
"54","SOUTH BEACON HILL",0,42,27,0,24,2,2,0,0,1,20,1,82,36,7,2,4,6,5,0,0,0,0,0,0,1,0,0,0,0,0,27,27,112,123,"SOUTH BEACON HILL"
"55","SOUTH DELRIDGE",0,67,43,0,37,3,3,0,1,0,16,2,114,40,12,2,12,13,5,1,0,0,0,0,0,0,0,0,0,0,0,29,29,166,176,"SOUTH DELRIDGE"
"56","SOUTH PARK",1,96,55,0,63,12,4,2,0,1,13,3,148,82,13,6,20,13,7,0,0,1,0,0,0,0,0,0,0,0,0,27,27,237,276,"SOUTH PARK"
"57","UNIVERSITY",8,442,489,0,368,15,12,0,4,1,113,8,1197,268,53,27,28,75,30,5,2,0,0,3,0,1,0,0,1,2,0,191,191,1607,1354,"UNIVERSITY"
"58","WALLINGFORD",2,125,249,0,146,18,7,1,3,1,54,3,709,185,22,6,16,30,3,8,1,0,0,1,0,0,0,0,0,0,0,86,86,883,621,"WALLINGFORD"
